PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
78082,1951-52,00,1610612752,NYK,22.0,12,,167.0,19,65,0.292,,,,9,14,0.643,,,26.0,6,,,,25,47,Herb Scherer
76168,1958-59,00,1610612752,NYK,24.0,11,,45.0,12,32,0.375,,,,1,1,1.0,,,12.0,4,,,,7,25,Jerry Bird
78113,1958-59,00,1610612752,NYK,26.0,68,,1448.0,233,605,0.385,,,,201,262,0.767,,,248.0,96,,,,113,667,Frank Selvy
78102,1987-88,00,1610612752,NYK,25.0,4,0.0,8.0,1,2,0.5,0.0,0.0,0.0,0,0,0.0,1.0,2.0,3.0,1,2.0,1.0,2.0,3,2,Carey Scurry
78037,1962-63,00,1610612752,NYK,23.0,56,,572.0,108,307,0.352,,,,73,95,0.768,,,149.0,30,,,,58,289,John Rudometkin
78037,1963-64,00,1610612752,NYK,24.0,52,,696.0,154,326,0.472,,,,87,116,0.75,,,164.0,26,,,,86,395,John Rudometkin
78037,1964-65,00,1610612752,NYK,25.0,1,,22.0,3,8,0.375,,,,0,0,0.0,,,7.0,0,,,,5,6,John Rudometkin
201563,2017-18,00,1610612752,NYK,29.0,74,30.0,1653.0,409,807,0.507,34.0,86.0,0.395,124,159,0.78,97.0,317.0,414.0,123,36.0,43.0,143.0,145,976,Michael Beasley
76130,1975-76,00,1610612752,NYK,29.0,60,,1449.0,193,406,0.475,,,,117,155,0.755,89.0,178.0,267.0,173,71.0,6.0,,180,503,Butch Beard
76130,1976-77,00,1610612752,NYK,30.0,70,,1082.0,148,293,0.505,,,,75,109,0.688,50.0,113.0,163.0,144,57.0,5.0,,137,371,Butch Beard
76130,1977-78,00,1610612752,NYK,31.0,79,,1979.0,308,614,0.502,,,,129,160,0.806,76.0,188.0,264.0,339,117.0,3.0,154.0,201,745,Butch Beard
76130,1978-79,00,1610612752,NYK,32.0,7,,85.0,11,26,0.423,,,,0,0,,1.0,9.0,10.0,19,7.0,0.0,10.0,13,22,Butch Beard
76117,1949-50,00,1610612752,NYK,24.0,2,,0.0,1,4,0.25,,,,2,3,0.667,,,0.0,0,,,,2,4,Ed Bartels
891,1988-89,00,1610612752,NYK,25.0,82,82.0,2604.0,426,835,0.51,12.0,48.0,0.25,197,255,0.773,343.0,518.0,861.0,187,104.0,14.0,248.0,270,1061,Charles Oakley
891,1989-90,00,1610612752,NYK,26.0,61,61.0,2196.0,336,641,0.524,0.0,3.0,0.0,217,285,0.761,258.0,469.0,727.0,146,64.0,16.0,165.0,220,889,Charles Oakley
891,1990-91,00,1610612752,NYK,27.0,76,74.0,2739.0,307,595,0.516,0.0,2.0,0.0,239,305,0.784,305.0,615.0,920.0,204,62.0,17.0,215.0,288,853,Charles Oakley
891,1991-92,00,1610612752,NYK,28.0,82,82.0,2309.0,210,402,0.522,0.0,3.0,0.0,86,117,0.735,256.0,444.0,700.0,133,67.0,15.0,123.0,258,506,Charles Oakley
891,1992-93,00,1610612752,NYK,29.0,82,82.0,2230.0,219,431,0.508,0.0,1.0,0.0,127,176,0.722,288.0,420.0,708.0,126,85.0,15.0,124.0,289,565,Charles Oakley
891,1993-94,00,1610612752,NYK,30.0,82,82.0,2932.0,363,760,0.478,0.0,3.0,0.0,243,313,0.776,349.0,616.0,965.0,218,110.0,18.0,193.0,293,969,Charles Oakley
891,1994-95,00,1610612752,NYK,31.0,50,49.0,1567.0,192,393,0.489,3.0,12.0,0.25,119,150,0.793,155.0,290.0,445.0,126,60.0,7.0,103.0,179,506,Charles Oakley
891,1995-96,00,1610612752,NYK,32.0,53,51.0,1775.0,211,448,0.471,7.0,26.0,0.269,175,210,0.833,162.0,298.0,460.0,137,58.0,14.0,104.0,195,604,Charles Oakley
891,1996-97,00,1610612752,NYK,33.0,80,80.0,2870.0,339,694,0.488,5.0,19.0,0.263,181,224,0.808,246.0,535.0,781.0,221,111.0,21.0,171.0,305,864,Charles Oakley
891,1997-98,00,1610612752,NYK,34.0,79,79.0,2734.0,307,698,0.44,0.0,6.0,0.0,97,114,0.851,218.0,506.0,724.0,201,123.0,22.0,126.0,280,711,Charles Oakley
203124,2015-16,00,1610612752,NYK,26.0,65,1.0,764.0,129,271,0.476,5.0,22.0,0.227,46,60,0.767,76.0,174.0,250.0,72,20.0,49.0,61.0,107,309,Kyle O'Quinn
203124,2016-17,00,1610612752,NYK,27.0,79,8.0,1229.0,215,413,0.521,2.0,17.0,0.118,64,83,0.771,157.0,282.0,439.0,117,36.0,104.0,76.0,174,496,Kyle O'Quinn
203124,2017-18,00,1610612752,NYK,28.0,77,10.0,1387.0,224,384,0.583,4.0,17.0,0.235,98,127,0.772,121.0,349.0,470.0,158,36.0,98.0,100.0,192,550,Kyle O'Quinn
78068,1980-81,00,1610612752,NYK,22.0,44,,484.0,94,225,0.418,1.0,6.0,0.167,26,39,0.667,47.0,85.0,132.0,10,12.0,4.0,30.0,54,215,Dewayne Scales
78068,1981-82,00,1610612752,NYK,23.0,3,0.0,24.0,1,5,0.2,0.0,0.0,,1,2,0.5,2.0,3.0,5.0,0,1.0,1.0,2.0,3,3,Dewayne Scales
194,1997-98,00,1610612752,NYK,34.0,27,3.0,224.0,32,59,0.542,3.0,4.0,0.75,8,9,0.889,9.0,17.0,26.0,11,6.0,2.0,7.0,25,75,Anthony Bowie
1628373,2017-18,00,1610612752,NYK,19.0,78,9.0,1706.0,182,500,0.364,50.0,157.0,0.318,49,68,0.721,37.0,140.0,177.0,250,65.0,18.0,131.0,181,463,Frank Ntilikina
1628373,2018-19,00,1610612752,NYK,20.0,43,16.0,904.0,95,282,0.337,33.0,115.0,0.287,23,30,0.767,12.0,75.0,87.0,121,30.0,14.0,56.0,104,246,Frank Ntilikina
1628373,2019-20,00,1610612752,NYK,21.0,57,26.0,1187.0,131,333,0.393,44.0,137.0,0.321,51,59,0.864,23.0,98.0,121.0,172,54.0,16.0,71.0,142,357,Frank Ntilikina
1628373,2020-21,00,1610612752,NYK,22.0,33,4.0,322.0,29,79,0.367,23.0,48.0,0.479,8,18,0.444,6.0,25.0,31.0,19,18.0,4.0,11.0,45,89,Frank Ntilikina
200779,2011-12,00,1610612752,NYK,29.0,54,0.0,1020.0,161,337,0.478,133.0,282.0,0.472,22,26,0.846,9.0,95.0,104.0,12,16.0,9.0,21.0,59,477,Steve Novak
200779,2012-13,00,1610612752,NYK,30.0,81,1.0,1641.0,178,430,0.414,149.0,351.0,0.425,30,33,0.909,17.0,135.0,152.0,35,28.0,8.0,12.0,97,535,Steve Novak
983,2003-04,00,1610612752,NYK,30.0,36,0.0,446.0,53,130,0.408,12.0,35.0,0.343,36,47,0.766,8.0,27.0,35.0,73,28.0,3.0,34.0,35,154,Moochie Norris
983,2004-05,00,1610612752,NYK,31.0,32,0.0,321.0,32,93,0.344,0.0,12.0,0.0,18,22,0.818,9.0,33.0,42.0,34,17.0,2.0,25.0,42,82,Moochie Norris
944,1992-93,00,1610612752,NYK,23.0,16,0.0,44.0,5,18,0.278,0.0,0.0,0.0,11,13,0.846,6.0,8.0,14.0,3,3.0,1.0,5.0,14,21,Eric Anderson
944,1993-94,00,1610612752,NYK,24.0,11,0.0,39.0,7,17,0.412,2.0,2.0,1.0,5,14,0.357,6.0,11.0,17.0,2,0.0,1.0,2.0,9,21,Eric Anderson
77723,1947-48,00,1610612752,NYK,23.0,29,,,40,138,0.29,,,,19,30,0.633,,,,3,,,,41,99,Paul Noel
77723,1948-49,00,1610612752,NYK,24.0,47,,,70,277,0.253,,,,37,60,0.617,,,,33,,,,84,177,Paul Noel
77723,1949-50,00,1610612752,NYK,25.0,65,,,98,291,0.337,,,,53,87,0.609,,,,67,,,,132,249,Paul Noel
101126,2005-06,00,1610612752,NYK,22.0,72,26.0,1544.0,230,565,0.407,58.0,146.0,0.397,152,202,0.752,56.0,111.0,167.0,147,59.0,1.0,114.0,201,670,Nate Robinson
101126,2006-07,00,1610612752,NYK,23.0,64,5.0,1356.0,227,523,0.434,83.0,213.0,0.39,108,139,0.777,55.0,97.0,152.0,90,50.0,6.0,72.0,160,645,Nate Robinson
101126,2007-08,00,1610612752,NYK,24.0,72,17.0,1883.0,331,782,0.423,97.0,292.0,0.332,154,196,0.786,51.0,171.0,222.0,212,60.0,1.0,103.0,186,913,Nate Robinson
101126,2008-09,00,1610612752,NYK,25.0,74,11.0,2209.0,449,1028,0.437,125.0,385.0,0.325,249,296,0.841,98.0,192.0,290.0,301,95.0,6.0,139.0,206,1272,Nate Robinson
101126,2009-10,00,1610612752,NYK,26.0,30,2.0,733.0,152,336,0.452,51.0,136.0,0.375,42,54,0.778,23.0,49.0,72.0,112,27.0,5.0,53.0,66,397,Nate Robinson
204001,2015-16,00,1610612752,NYK,20.0,72,72.0,2047.0,373,886,0.421,81.0,243.0,0.333,201,240,0.838,132.0,394.0,526.0,94,53.0,134.0,121.0,205,1028,Kristaps Porzingis
204001,2016-17,00,1610612752,NYK,21.0,66,65.0,2164.0,443,985,0.45,112.0,314.0,0.357,198,252,0.786,111.0,364.0,475.0,97,47.0,129.0,118.0,244,1196,Kristaps Porzingis
204001,2017-18,00,1610612752,NYK,22.0,48,48.0,1553.0,390,889,0.439,90.0,228.0,0.395,218,275,0.793,62.0,254.0,316.0,57,36.0,115.0,93.0,141,1088,Kristaps Porzingis
203457,2020-21,00,1610612752,NYK,27.0,64,41.0,1547.0,137,223,0.614,0.0,3.0,0.0,50,70,0.714,142.0,265.0,407.0,46,70.0,141.0,65.0,176,324,Nerlens Noel
203457,2021-22,00,1610612752,NYK,28.0,25,11.0,562.0,32,60,0.533,0.0,3.0,0.0,21,30,0.7,48.0,93.0,141.0,23,30.0,31.0,20.0,67,85,Nerlens Noel
201149,2016-17,00,1610612752,NYK,32.0,46,46.0,1015.0,99,202,0.49,0.0,1.0,0.0,34,78,0.436,162.0,241.0,403.0,103,30.0,37.0,58.0,127,232,Joakim Noah
201149,2017-18,00,1610612752,NYK,33.0,7,0.0,40.0,5,10,0.5,0.0,0.0,0.0,2,4,0.5,6.0,8.0,14.0,4,2.0,2.0,4.0,5,12,Joakim Noah
201193,2008-09,00,1610612752,NYK,24.0,2,0.0,9.0,2,5,0.4,0.0,1.0,0.0,1,2,0.5,0.0,2.0,2.0,0,0.0,1.0,0.0,0,5,Demetris Nichols
200764,2006-07,00,1610612752,NYK,22.0,68,1.0,1064.0,139,275,0.505,5.0,27.0,0.185,51,90,0.567,97.0,197.0,294.0,44,57.0,44.0,49.0,146,334,Renaldo Balkman
200764,2007-08,00,1610612752,NYK,23.0,65,0.0,952.0,91,186,0.489,1.0,12.0,0.083,41,95,0.432,83.0,133.0,216.0,40,44.0,30.0,37.0,132,224,Renaldo Balkman
200764,2010-11,00,1610612752,NYK,26.0,3,0.0,18.0,1,4,0.25,1.0,2.0,0.5,0,0,0.0,1.0,2.0,3.0,0,1.0,0.0,1.0,4,3,Renaldo Balkman
200764,2011-12,00,1610612752,NYK,27.0,14,0.0,115.0,16,32,0.5,2.0,9.0,0.222,8,11,0.727,6.0,20.0,26.0,5,4.0,3.0,6.0,14,42,Renaldo Balkman
271,1987-88,00,1610612752,NYK,24.0,77,25.0,1589.0,270,620,0.435,26.0,93.0,0.28,207,246,0.841,87.0,72.0,159.0,62,72.0,11.0,103.0,204,773,Johnny Newman
271,1988-89,00,1610612752,NYK,25.0,81,80.0,2336.0,455,957,0.475,97.0,287.0,0.338,286,351,0.815,93.0,113.0,206.0,162,111.0,23.0,153.0,259,1293,Johnny Newman
271,1989-90,00,1610612752,NYK,26.0,80,69.0,2277.0,374,786,0.476,45.0,142.0,0.317,239,299,0.799,60.0,131.0,191.0,180,95.0,22.0,143.0,254,1032,Johnny Newman
77710,1981-82,00,1610612752,NYK,33.0,76,32.0,1507.0,286,615,0.465,7.0,23.0,0.304,126,147,0.857,36.0,55.0,91.0,170,33.0,3.0,104.0,194,705,Mike Newlin
76069,1955-56,00,1610612752,NYK,24.0,25,,288.0,36,88,0.409,,,,21,27,0.778,,,42.0,32,,,,39,93,Richard Atha
1626254,2016-17,00,1610612752,NYK,25.0,32,4.0,331.0,39,86,0.453,1.0,7.0,0.143,19,26,0.731,22.0,42.0,64.0,8,15.0,8.0,12.0,30,98,Maurice Ndour
77693,1956-57,00,1610612752,NYK,22.0,71,,1778.0,293,820,0.357,,,,132,195,0.677,,,617.0,84,,,,186,718,Willie Naulls
77693,1957-58,00,1610612752,NYK,23.0,68,,2369.0,472,1189,0.397,,,,284,344,0.826,,,799.0,97,,,,220,1228,Willie Naulls
77693,1958-59,00,1610612752,NYK,24.0,68,,2061.0,405,1072,0.378,,,,258,311,0.83,,,723.0,102,,,,233,1068,Willie Naulls
77693,1959-60,00,1610612752,NYK,25.0,65,,2250.0,551,1286,0.428,,,,286,342,0.836,,,921.0,138,,,,214,1388,Willie Naulls
77693,1960-61,00,1610612752,NYK,26.0,79,,2976.0,737,1723,0.428,,,,372,456,0.816,,,1055.0,191,,,,268,1846,Willie Naulls
77693,1961-62,00,1610612752,NYK,27.0,75,,2978.0,747,1798,0.415,,,,383,455,0.842,,,867.0,192,,,,260,1877,Willie Naulls
2853,2009-10,00,1610612752,NYK,28.0,7,6.0,232.0,30,68,0.441,0.0,0.0,0.0,22,29,0.759,31.0,46.0,77.0,8,4.0,4.0,11.0,24,82,Earl Barron
2853,2012-13,00,1610612752,NYK,31.0,1,1.0,37.0,5,14,0.357,0.0,0.0,0.0,1,2,0.5,6.0,12.0,18.0,2,0.0,1.0,1.0,1,11,Earl Barron
1924,2002-03,00,1610612752,NYK,28.0,38,0.0,406.0,84,190,0.442,0.0,1.0,0.0,42,51,0.824,32.0,38.0,70.0,26,6.0,3.0,32.0,46,210,Lee Nailon
1629004,2022-23,00,1610612752,NYK,26.0,13,0.0,40.0,6,12,0.5,6.0,10.0,0.6,3,5,0.6,0.0,7.0,7.0,1,1.0,0.0,2.0,1,21,Svi Mykhailiuk
147,2005-06,00,1610612752,NYK,33.0,26,23.0,746.0,110,239,0.46,28.0,57.0,0.491,82,101,0.812,13.0,69.0,82.0,68,10.0,3.0,50.0,55,330,Jalen Rose
1683,2001-02,00,1610612752,NYK,34.0,2,0.0,11.0,1,4,0.25,1.0,2.0,0.5,0,0,0.0,0.0,2.0,2.0,0,0.0,0.0,0.0,1,3,Larry Robinson
939,1988-89,00,1610612752,NYK,25.0,29,0.0,230.0,25,61,0.41,0.0,2.0,0.0,31,44,0.705,12.0,11.0,23.0,46,17.0,2.0,19.0,41,81,Pete Myers
939,1989-90,00,1610612752,NYK,26.0,24,0.0,208.0,15,45,0.333,0.0,1.0,0.0,16,31,0.516,10.0,18.0,28.0,35,15.0,2.0,18.0,39,46,Pete Myers
939,1997-98,00,1610612752,NYK,34.0,9,0.0,40.0,5,10,0.5,0.0,0.0,0.0,4,6,0.667,5.0,5.0,10.0,3,4.0,0.0,4.0,7,14,Pete Myers
78200,1981-82,00,1610612752,NYK,33.0,82,40.0,2033.0,348,748,0.465,3.0,11.0,0.273,122,151,0.808,53.0,102.0,155.0,255,91.0,1.0,124.0,199,821,Randy Smith
87,2003-04,00,1610612752,NYK,38.0,65,56.0,1497.0,141,295,0.478,0.0,0.0,0.0,81,119,0.681,145.0,292.0,437.0,25,17.0,123.0,54.0,141,363,Dikembe Mutombo
1710,2011-12,00,1610612752,NYK,34.0,39,4.0,557.0,35,124,0.282,27.0,85.0,0.318,6,8,0.75,5.0,54.0,59.0,80,21.0,3.0,20.0,45,103,Mike Bibby
1054,1990-91,00,1610612752,NYK,21.0,62,5.0,825.0,106,228,0.465,0.0,1.0,0.0,56,87,0.644,51.0,118.0,169.0,36,15.0,14.0,61.0,109,268,Jerrod Mustaf
203315,2013-14,00,1610612752,NYK,24.0,51,0.0,372.0,56,129,0.434,5.0,12.0,0.417,23,39,0.59,13.0,31.0,44.0,49,19.0,1.0,34.0,46,140,Toure' Murry
77671,1946-47,00,1610612752,NYK,22.0,9,,0.0,8,25,0.32,,,,8,12,0.667,,,0.0,0,,,,3,24,John Murphy
77672,1946-47,00,1610612752,NYK,26.0,24,,0.0,14,58,0.241,,,,4,5,0.8,,,0.0,5,,,,9,32,Dick Murphy
200745,2013-14,00,1610612752,NYK,28.0,42,39.0,1257.0,222,502,0.442,30.0,108.0,0.278,84,102,0.824,69.0,153.0,222.0,45,14.0,52.0,58.0,100,558,Andrea Bargnani
200745,2014-15,00,1610612752,NYK,29.0,29,22.0,785.0,164,361,0.454,15.0,41.0,0.366,87,107,0.813,32.0,95.0,127.0,46,2.0,27.0,42.0,53,430,Andrea Bargnani
77660,1946-47,00,1610612752,NYK,24.0,26,,0.0,27,104,0.26,,,,22,34,0.647,,,0.0,18,,,,32,76,Bob Mullens
1626144,2017-18,00,1610612752,NYK,22.0,22,14.0,493.0,75,204,0.368,9.0,46.0,0.196,35,51,0.686,10.0,48.0,58.0,85,20.0,7.0,41.0,33,194,Emmanuel Mudiay
1626144,2018-19,00,1610612752,NYK,23.0,59,42.0,1607.0,330,740,0.446,69.0,210.0,0.329,144,186,0.774,33.0,163.0,196.0,228,43.0,19.0,140.0,103,873,Emmanuel Mudiay
202389,2010-11,00,1610612752,NYK,24.0,34,14.0,458.0,52,112,0.464,0.0,0.0,0.0,31,44,0.705,41.0,63.0,104.0,15,14.0,23.0,32.0,76,135,Timofey Mozgov
203085,2020-21,00,1610612752,NYK,28.0,21,2.0,442.0,58,135,0.43,28.0,77.0,0.364,10,14,0.714,5.0,42.0,47.0,42,12.0,0.0,22.0,32,154,Austin Rivers
202694,2019-20,00,1610612752,NYK,30.0,43,43.0,1387.0,281,636,0.442,116.0,264.0,0.439,163,198,0.823,48.0,185.0,233.0,59,34.0,17.0,73.0,128,841,Marcus Morris Sr.
78075,1953-54,00,1610612752,NYK,28.0,67,,1515.0,161,415,0.388,,,,153,195,0.785,,,267.0,109,,,,176,475,Fred Schaus
201043,2006-07,00,1610612752,NYK,21.0,5,0.0,44.0,1,6,0.167,0.0,0.0,0.0,2,6,0.333,1.0,8.0,9.0,1,2.0,1.0,2.0,4,4,Randolph Morris
201043,2007-08,00,1610612752,NYK,22.0,18,2.0,181.0,21,58,0.362,0.0,0.0,0.0,14,29,0.483,12.0,25.0,37.0,2,4.0,2.0,9.0,37,56,Randolph Morris
201235,2008-09,00,1610612752,NYK,25.0,1,0.0,11.0,3,6,0.5,0.0,0.0,0.0,0,0,0.0,2.0,2.0,4.0,0,0.0,0.0,0.0,1,6,Courtney Sims
1629760,2021-22,00,1610612752,NYK,27.0,1,0.0,2.0,0,1,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0,0,Matt Mooney
600006,1971-72,00,1610612752,NYK,27.0,60,,1234.0,261,598,0.436,,,,162,206,0.786,,,92.0,132,,,,130,684,Earl Monroe
600006,1972-73,00,1610612752,NYK,28.0,75,,2370.0,496,1016,0.488,,,,171,208,0.822,,,245.0,288,,,,195,1163,Earl Monroe
600006,1973-74,00,1610612752,NYK,29.0,41,,1194.0,240,513,0.468,,,,93,113,0.823,22.0,99.0,121.0,110,34.0,19.0,,97,573,Earl Monroe
